sku,delivery
KAN-AP-20RC30,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20RC31,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20RC32,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20RC33,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF01,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF02,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF03,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF04,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF05,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF06,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF07,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF08,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF09,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF10,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF11,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF12,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF13,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF14,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF15,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF16,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF17,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF18,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF19,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF20,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF21,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF22,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF23,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF24,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF25,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF26,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF27,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF28,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
KAN-AP-20PF29,"<p><strong>Shipping</strong></p>
<p>For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.</p>
<p><strong>Free shipping in India!</strong></p>
<p>All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch.</p>
<p>International orders are final sale and cannot be returned.</p>
<p><strong>Returns</strong></p>
<p>Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping.</p>
<ul>
<li>Returns will not be accepted on damaged, used, washed or stained items.</li>
<li>Returns will not be accepted on Custom/Bespoke orders.</li>
<li>Return shipping methods and associated costs are the responsibility of the customer.</li>
<li>SALE products are final sales and are not eligible for return, refunds or exchange.</li>
</ul>
<p>Please refer to our shipping &amp; returns policy for more information.</p>"
